name,lines,lat,lon
4·19민주묘지,우이신설선,37.6493635,127.0136521
가능,1호선,37.7476557,127.0447039
가락시장,3호선|8호선,37.4922475,127.1177039
가산디지털단지,1호선|7호선,37.4823798,126.8821636
가양,9호선,37.5611258,126.8550615
가오리,우이신설선,37.6420351,127.0165155
가재울,인천2호선,37.4835734,126.6844519
가정,인천2호선,37.5241073,126.6752382
가정중앙시장,인천2호선,37.517088,126.6767385
가좌,경의·중앙선,37.5688469,126.9141529
가천대,수인·분당선,37.4486968,127.1266971
가평,경춘선,37.8145424,127.5107447
간석,1호선,37.4645678,126.6924772
간석오거리,인천1호선,37.4673373,126.707837
갈매,경춘선,37.6339552,127.1147005
갈산,인천1호선,37.5167129,126.7214337
강남,2호선|신분당선,37.4979002,127.0276077
강남구청,7호선|수인·분당선,37.5167764,127.0414135
강남대,에버라인,37.2702735,127.1260023
강동,5호선,37.5358634,127.1326384
강동구청,8호선,37.5306815,127.120598
강매,경의·중앙선,37.6121383,126.8442848
강변,2호선,37.5343289,127.0952593
강일,5호선,37.5575854,127.1760948
강촌,경춘선,37.8057393,127.6341157
개롱,5호선,37.4981053,127.1348455
개봉,1호선,37.4945762,126.8581644
개포동,수인·분당선,37.4890796,127.0660515
개화,9호선,37.5784343,126.7968238
개화산,5호선,37.5728374,126.808166
거여,5호선,37.4933801,127.1437715
건대입구,2호선|7호선,37.5407875,127.0681712
걸포북변,김포골드라인,37.6315929,126.7058836
검단사거리,인천2호선,37.6019359,126.6570932
검단오류,인천2호선,37.5949031,126.6282878
검단호수공원,인천1호선,37.6024184,126.6885383
검바위,인천2호선,37.5608918,126.6774743
검암,공항철도|인천2호선,37.5691612,126.6736778
경기광주,경강선,37.3989152,127.2532951
경기도청북부청사,의정부경전철,37.7507504,127.071814
경마공원,4호선,37.4438286,127.007913
경복궁,3호선,37.5757585,126.9735668
경인교대입구,인천1호선,37.5384255,126.7225345
경전철의정부,의정부경전철,37.737445,127.0433186
경찰병원,3호선,37.4953088,127.1238319
계산,인천1호선,37.5433868,126.7278899
계양,공항철도|인천1호선,37.5717906,126.7363487
고덕,5호선,37.5550028,127.1537873
고려대,6호선,37.58975,127.0359359
고색,수인·분당선,37.2498322,126.9803937
고속터미널,3호선|7호선|9호선,37.5050376,127.0049022
고잔,4호선|수인·분당선,37.3169005,126.8220934
고진,에버라인,37.2444148,127.2141149
고촌,김포골드라인,37.6013319,126.7701876
곡산,경의·중앙선|서해선,37.6463771,126.8014149
곤제,의정부경전철,37.7503452,127.0838985
곤지암,경강선,37.350519,127.3462861
공덕,5호선|6호선|경의·중앙선|공항철도,37.5424161,126.9522541
공릉,7호선,37.6256062,127.0729869
공항시장,9호선,37.5634156,126.8104215
공항화물청사,공항철도,37.4589066,126.4776332
과천,4호선,37.4330278,126.9968428
관악,1호선,37.4191207,126.9090056
관악산,신림선,37.4688191,126.9453084
광교,신분당선,37.3024813,127.0435221
광교중앙,신분당선,37.288547,127.0514993
광나루,5호선,37.5453332,127.1035169
광명,1호선,37.4169851,126.8846994
광명사거리,7호선,37.479621,126.8538115
광운대,1호선|경춘선,37.6235166,127.0621851
광화문,5호선,37.5716332,126.9769142
광흥창,6호선,37.547449,126.932001
교대,2호선|3호선,37.4928812,127.0138064
구래,김포골드라인,37.6454185,126.6287137
구로,1호선,37.5033463,126.8823678
구로디지털단지,2호선,37.4850332,126.9025904
구룡,수인·분당선,37.4869099,127.059455
구리,8호선|경의·중앙선,37.6016366,127.1410186
구반포,9호선,37.5012703,126.9867889
구산,6호선,37.6110401,126.9170995
구성,GTX-A|수인·분당선,37.2990209,127.1057172
구의,2호선,37.5368976,127.085103
구일,1호선,37.4957217,126.8689185
구파발,3호선,37.6368537,126.9187721
국수,경의·중앙선,37.5159075,127.3982455
국제업무지구,인천1호선,37.3998563,126.6306247
국회의사당,9호선,37.5274368,126.9184254
군자,5호선|7호선,37.5571693,127.0795654
군포,1호선,37.3534284,126.9485985
굴봉산,경춘선,37.8319414,127.5571302
굴포천,7호선,37.5070361,126.7313177
굽은다리,5호선,37.5456603,127.1429306
귤현,인천1호선,37.5659095,126.7427462
금곡,경춘선,37.6373387,127.2074212
금릉,경의·중앙선,37.7518897,126.7650266
금정,1호선|4호선,37.3715851,126.9439463
금천구청,1호선,37.4563959,126.8934833
금촌,경의·중앙선,37.7665998,126.7753589
금호,3호선,37.5480153,127.0158595
기흥,수인·분당선|에버라인,37.2755066,127.1159856
길동,5호선,37.5383553,127.140159
길음,4호선,37.6024214,127.024414
김량장,에버라인,37.2372928,127.198446
김유정,경춘선,37.8184499,127.7143217
김포공항,5호선|9호선|공항철도|김포골드라인|서해선,37.5619723,126.8015364
까치산,2호선|5호선,37.5313676,126.846698
까치울,7호선,37.5062561,126.8113774
낙성대,2호선,37.4770291,126.9635445
남구로,7호선,37.485404,126.8866733
남동구청,인천2호선,37.448121,126.7373278
남동인더스파크,수인·분당선,37.4082483,126.6943986
남부터미널,3호선,37.4849718,127.0162904
남성,7호선,37.4843794,126.9718787
남영,1호선,37.5395691,126.9714083
남위례,8호선,37.4624724,127.1397967
남춘천,경춘선,37.8639923,127.7239204
남태령,4호선,37.463972,126.9889176
남한산성입구,8호선,37.451584,127.159804
내방,7호선,37.4872377,126.9921169
노들,9호선,37.5129494,126.9535788
노량진,1호선|9호선,37.5136072,126.9418701
노원,4호선|7호선,37.6561244,127.0623632
녹번,3호선,37.600943,126.9357156
녹사평,6호선,37.5347329,126.9864975
녹양,1호선,37.758501,127.042323
녹천,1호선,37.6439844,127.0516865
논현,7호선|신분당선,37.5099469,127.0218958
능곡,경의·중앙선|서해선,37.619355,126.8197461
다산,8호선,37.6237479,127.1496187
단대오거리,8호선,37.4450934,127.1567551
달미,서해선,37.3489976,126.8091335
달월,수인·분당선,37.3807129,126.7458836
답십리,5호선,37.5668495,127.0527067
당곡,신림선,37.4897299,126.927818
당산,2호선|9호선,37.534127,126.9020714
당정,1호선,37.3424456,126.9484387
대곡,3호선|GTX-A|경의·중앙선|서해선,37.6318362,126.8096784
대공원,4호선,37.435088,127.0061773
대림,2호선|7호선,37.4932804,126.8949584
대모산입구,수인·분당선,37.4913743,127.0727648
대방,1호선|신림선,37.5134068,126.9254113
대성리,경춘선,37.6838528,127.3795675
대야미,4호선,37.3272174,126.9162856
대청,3호선,37.493654,127.0795056
대치,3호선,37.4944502,127.0632186
대화,3호선,37.6761485,126.7474578
대흥,6호선,37.5476895,126.9423171
덕계,1호선,37.8179643,127.0564018
덕소,경의·중앙선,37.5875186,127.2076604
덕정,1호선,37.8424204,127.0616808
도곡,3호선|수인·분당선,37.4908838,127.0554872
도농,경의·중앙선,37.6087773,127.1612194
도라산,경의·중앙선,37.8990505,126.7084359
도림천,2호선,37.5144991,126.8826324
도봉,1호선,37.6781766,127.0453853
도봉산,1호선|7호선,37.688786,127.0461858
도심,경의·중앙선,37.5798815,127.2217583
도원,1호선,37.469062,126.6416049
도화,1호선,37.4660994,126.6674091
독립문,3호선,37.574513,126.9578197
독바위,6호선,37.6184519,126.9330576
독산,1호선,37.4668796,126.8890361
독정,인천2호선,37.5847513,126.6759397
돌곶이,6호선,37.6105343,127.0564905
동구릉,8호선,37.6101744,127.1381349
동대문,1호선|4호선,37.5707564,127.0093746
동대문역사문화공원,2호선|4호선|5호선,37.5659047,127.0081762
동대입구,3호선,37.5590197,127.0057659
동두천,1호선,37.9266917,127.0550196
동두천중앙,1호선,37.9008562,127.0564914
동막,인천1호선,37.3983933,126.6738092
동묘앞,1호선|6호선,37.571413,127.0158026
동백,에버라인,37.2691532,127.1526913
동수,인천1호선,37.4854963,126.7184187
동암,1호선,37.4699087,126.7029777
동오,의정부경전철,37.7453477,127.0571834
동인천,1호선,37.4756163,126.63231
동작,4호선|9호선,37.5021191,126.9808291
동천,신분당선,37.3378769,127.1028482
동춘,인천1호선,37.4046129,126.6805762
동탄,GTX-A,37.1984804,127.0959773
두정,1호선,36.8332818,127.149214
둔전,에버라인,37.2670626,127.2136449
둔촌동,5호선,37.5277875,127.1362849
둔촌오륜,9호선,37.5198527,127.1383293
등촌,9호선,37.5511895,126.8645708
디지털미디어시티,6호선|경의·중앙선|공항철도,37.577433,126.8980613
뚝섬,2호선,37.5475873,127.0463967
마곡,5호선,37.5602708,126.8247446
마곡나루,9호선|공항철도,37.5666674,126.8277135
마두,3호선,37.6520005,126.7777178
마들,7호선,37.6647424,127.0577568
마산,김포골드라인,37.640616,126.6441105
마석,경춘선,37.6527896,127.3116743
마장,5호선,37.5661188,127.0428899
마전,인천2호선,37.5974375,126.6673527
마천,5호선,37.4949893,127.1527509
마포,5호선,37.5396405,126.9459579
마포구청,6호선,37.5635156,126.9033737
만수,인천2호선,37.454923,126.7322622
망우,경의·중앙선|경춘선,37.5989729,127.0915707
망원,6호선,37.5559808,126.9101224
망월사,1호선,37.7094036,127.047594
망포,수인·분당선,37.245644,127.0570027
매교,수인·분당선,37.2655001,127.0157079
매봉,3호선,37.4870435,127.0469913
매탄권선,수인·분당선,37.2530511,127.0404781
먹골,7호선,37.6114362,127.0775866
면목,7호선,37.5883794,127.0875458
명동,4호선,37.5609174,126.9862899
명일,5호선,37.5519248,127.1440529
명지대,에버라인,37.23808,127.1900788
명학,1호선,37.3837522,126.93601
모란,8호선|수인·분당선,37.4321771,127.1290618
모래내시장,인천2호선,37.455804,126.719984
목동,5호선,37.5261412,126.864513
몽촌토성,8호선,37.5175496,127.1126502
무악재,3호선,37.5823147,126.9503083
문래,2호선,37.518408,126.8948387
문산,경의·중앙선,37.8553067,126.7879894
문정,8호선,37.48585,127.122484
문학경기장,인천1호선,37.4348643,126.6977716
미금,수인·분당선|신분당선,37.3499981,127.1089702
미사,5호선,37.5630584,127.1927747
미아,4호선,37.6254296,127.0264909
미아사거리,4호선,37.6131644,127.0300744
박촌,인천1호선,37.5536398,126.7450242
반월,4호선,37.3116652,126.9032326
반포,7호선,37.5081855,127.011619
발곡,의정부경전철,37.7269971,127.0529344
발산,5호선,37.5584571,126.8375125
방배,2호선,37.4814426,126.9976822
방이,5호선,37.5086178,127.1260719
방학,1호선,37.666534,127.0444265
방화,5호선,37.5773845,126.8127722
배방,1호선,36.7771457,127.0519158
백마,경의·중앙선|서해선,37.6575978,126.7949216
백석,3호선,37.6430565,126.7879533
백양리,경춘선,37.8307979,127.5891698
백운,1호선,37.4824022,126.7063864
버티고개,6호선,37.5482256,127.0066769
범계,4호선,37.3898873,126.9509188
범골,의정부경전철,37.7289028,127.043702
별내,8호선|경춘선,37.6418028,127.1280243
별내별가람,4호선,37.6680941,127.1169523
병점,1호선,37.2065157,127.0335067
보라매,7호선|신림선,37.4999833,126.919781
보라매공원,신림선,37.4953052,126.9182796
보라매병원,신림선,37.4930402,126.9243222
보문,6호선|우이신설선,37.5852622,127.0193326
보산,1호선,37.9133009,127.0573342
보정,수인·분당선,37.3123522,127.1082976
보평,에버라인,37.2587377,127.2185469
복정,8호선|수인·분당선,37.4716385,127.1266838
봉명,1호선,36.8009468,127.1352651
봉은사,9호선,37.5141546,127.0601774
봉천,2호선,37.4823536,126.9419846
봉화산,6호선,37.6173928,127.0910747
부개,1호선,37.4884186,126.7398397
부발,경강선,37.2604283,127.4903138
부천,1호선,37.4841939,126.7813237
부천시청,7호선,37.5047828,126.7631827
부천종합운동장,7호선|서해선,37.5055909,126.7974602
부평,1호선|인천1호선,37.4893315,126.7245079
부평구청,7호선|인천1호선,37.5075712,126.7198593
부평삼거리,인천1호선,37.4778965,126.7102052
부평시장,인천1호선,37.498369,126.7222192
북한산보국문,우이신설선,37.6119626,127.0082576
북한산우이,우이신설선,37.6633606,127.0123479
불광,3호선|6호선,37.6098806,126.930398
불암산,4호선,37.6695753,127.0784401
사가정,7호선,37.5807153,127.0883912
사당,2호선|4호선,37.4764777,126.9825455
사릉,경춘선,37.6511137,127.1769097
사리,수인·분당선,37.2915384,126.8573725
사우,김포골드라인,37.6203085,126.7196924
사평,9호선,37.504105,127.0153773
산곡,7호선,37.5086158,126.7036796
산본,4호선,37.3575433,126.9321639
산성,8호선,37.4568481,127.1499078
삼가,에버라인,37.2422743,127.1681525
삼각지,4호선|6호선,37.5344579,126.9729031
삼동,경강선,37.4086667,127.2033703
삼산체육관,7호선,37.5065175,126.7423065
삼성,2호선,37.5091066,127.0642476
삼성중앙,9호선,37.5130743,127.0537122
삼송,3호선,37.6531033,126.8954689
삼양,우이신설선,37.6269639,127.0181389
삼양사거리,우이신설선,37.621174,127.020514
삼전,9호선,37.504478,127.0871856
상갈,수인·분당선,37.2617522,127.1088684
상계,4호선,37.6599912,127.0726737
상도,7호선,37.5032145,126.9476896
상동,7호선,37.5058462,126.7531662
상록수,4호선,37.3028721,126.8656673
상봉,7호선|경의·중앙선|경춘선,37.5965559,127.0843139
상수,6호선,37.5477391,126.9229225
상왕십리,2호선,37.5644254,127.029212
상월곡,6호선,37.606207,127.0482569
상일동,5호선,37.5566609,127.1650911
상천,경춘선,37.7701614,127.4544037
상현,신분당선,37.2974137,127.0693373
새말,의정부경전철,37.7488705,127.0639796
새절,6호선,37.5910867,126.9134797
샛강,9호선|신림선,37.5172824,126.9283959
서강대,경의·중앙선,37.5529911,126.93427
서대문,5호선,37.5658085,126.9666095
서동탄,1호선,37.1956686,127.0518219
서부여성회관,인천2호선,37.4995411,126.6757103
서빙고,경의·중앙선,37.5195173,126.9872817
서울대벤처타운,신림선,37.4720479,126.9337423
서울대입구,2호선,37.4811907,126.9527472
서울숲,수인·분당선,37.5436201,127.0447177
서울역,1호선|4호선|GTX-A|경의·중앙선|공항철도,37.552576,126.9724492
서울지방병무청,신림선,37.5059414,126.9227816
서원,신림선,37.4781973,126.9331002
서정리,1호선,37.0556777,127.0528971
서초,2호선,37.491807,127.0076422
서해구청,인천2호선,37.5433208,126.6767447
서현,수인·분당선,37.3849257,127.1233156
석계,1호선|6호선,37.6148757,127.065768
석남,7호선|인천2호선,37.506387,126.6761225
석바위시장,인천2호선,37.4576075,126.692919
석수,1호선,37.4345411,126.9025637
석천사거리,인천2호선,37.4566506,126.7112017
석촌,8호선|9호선,37.5050452,127.1068567
석촌고분,9호선,37.502417,127.0965651
선릉,2호선|수인·분당선,37.5044396,127.0489087
선바위,4호선,37.4507449,127.003056
선부,서해선,37.3343857,126.8099592
선유도,9호선,37.5378557,126.8938639
선정릉,9호선|수인·분당선,37.510668,127.0436952
선학,인천1호선,37.427146,126.6989001
성균관대,1호선,37.3003127,126.972123
성남,경강선,37.394745,127.1206192
성복,신분당선,37.3134135,127.0803106
성수,2호선,37.5448976,127.0550553
성신여대입구,4호선|우이신설선,37.592665,127.0164111
성환,1호선,36.9153776,127.1270569
세류,1호선,37.2433133,127.014239
세마,1호선,37.1864677,127.0439663
세종대왕릉,경강선,37.2936415,127.5706498
센트럴파크,인천1호선,37.3934462,126.6347144
소래포구,수인·분당선,37.4013038,126.7325487
소사,1호선|서해선,37.4826204,126.7946398
소새울,서해선,37.4687,126.7972489
소요산,1호선,37.9471617,127.0607225
솔밭공원,우이신설선,37.6559343,127.0131587
솔샘,우이신설선,37.6202204,127.0137122
송내,1호선,37.4876022,126.7516291
송도,수인·분당선,37.4303043,126.6538721
송도달빛축제공원,인천1호선,37.4068352,126.626147
송산,의정부경전철,37.7371073,127.0873011
송정,5호선,37.5612892,126.8119992
송탄,1호선,37.075606,127.0544205
송파,8호선,37.4996207,127.1122514
