from_iata,to_iata,km,hours,airlines
AGR,BOM,1037,2.3,1
AGR,HJR,325,1.41,1
AGX,COK,468,1.58,1
AJL,CCU,446,1.56,3
AJL,GAU,273,1.34,2
AJL,IMF,165,1.21,1
AMD,BLR,1222,2.53,1
AMD,BOM,444,1.56,6
AMD,CCU,1620,3.02,2
AMD,DEL,757,1.95,6
AMD,GOI,865,2.08,1
AMD,JAI,526,1.66,1
AMD,MAA,1375,2.72,2
AMD,PNQ,517,1.65,2
ATQ,BOM,1417,2.77,1
ATQ,DEL,414,1.52,4
ATQ,SXR,253,1.32,1
BBI,BLR,1166,2.46,1
BBI,BOM,1362,2.7,2
BBI,CCU,382,1.48,1
BBI,DEL,1278,2.6,2
BBI,IXZ,1208,2.51,1
BBI,VTZ,391,1.49,1
BDP,KTM,297,1.37,1
BDQ,BOM,363,1.45,3
BDQ,DEL,794,1.99,2
BHJ,BOM,573,1.72,2
BHO,BOM,658,1.82,3
BHO,DEL,587,1.73,3
BHR,KTM,92,1.11,1
BHU,BOM,305,1.38,2
BHV,KHI,669,1.84,2
BHV,LHE,353,1.44,2
BIR,KTM,232,1.29,1
BLR,AMD,1222,2.53,1
BLR,BBI,1166,2.46,1
BLR,BOM,834,2.04,6
BLR,CCJ,298,1.37,1
BLR,CCU,1547,2.93,5
BLR,CJB,252,1.31,2
BLR,CMB,710,1.89,2
BLR,COK,367,1.46,5
BLR,DEL,1710,3.14,6
BLR,GAU,2039,3.55,1
BLR,GOI,483,1.6,6
BLR,HBX,371,1.46,1
BLR,IDR,1078,2.35,2
BLR,IXE,306,1.38,4
BLR,IXG,445,1.56,1
BLR,JAI,1528,2.91,1
BLR,LKO,1544,2.93,1
BLR,MAA,268,1.33,6
BLR,MYQ,157,1.2,1
BLR,NAG,889,2.11,1
BLR,PNQ,723,1.9,5
BLR,TRV,531,1.66,4
BLR,VGA,498,1.62,1
BLR,VTZ,776,1.97,4
BOM,AGR,1037,2.3,1
BOM,AMD,444,1.56,6
BOM,ATQ,1417,2.77,1
BOM,BBI,1362,2.7,2
BOM,BDQ,363,1.45,3
BOM,BHJ,573,1.72,2
BOM,BHO,658,1.82,3
BOM,BHU,305,1.38,2
BOM,BLR,834,2.04,6
BOM,CCJ,944,2.18,3
BOM,CCU,1665,3.08,5
BOM,CJB,1002,2.25,5
BOM,CMB,1526,2.91,4
BOM,COK,1064,2.33,7
BOM,DAC,1888,3.36,1
BOM,DEL,1138,2.42,6
BOM,DIU,272,1.34,2
BOM,GAU,2071,3.59,1
BOM,GOI,425,1.53,6
BOM,GWL,971,2.21,1
BOM,HBX,477,1.6,1
BOM,IDR,506,1.63,4
BOM,IXC,1347,2.68,4
BOM,IXD,1153,2.44,1
BOM,IXE,715,1.89,5
BOM,IXJ,1525,2.91,1
BOM,IXU,279,1.35,3
BOM,JAI,911,2.14,5
BOM,JDH,797,2.0,3
BOM,JGA,479,1.6,1
BOM,JLR,873,2.09,1
BOM,KHI,874,2.09,1
BOM,KTM,1592,2.99,1
BOM,LKO,1184,2.48,5
BOM,MAA,1033,2.29,7
BOM,NAG,683,1.85,5
BOM,PAT,1449,2.81,2
BOM,PNQ,124,1.16,2
BOM,RAJ,419,1.52,3
BOM,RPR,955,2.19,3
BOM,STV,226,1.28,1
